ts,open,high,low,close,vol,bin
1767544800000,0.12535,0.12536,0.12527,0.12529,24091.0,"(0.125, 0.127]"
1767544860000,0.12529,0.12536,0.12526,0.12533,23399.0,"(0.125, 0.127]"
1767544920000,0.12534,0.12535,0.1253,0.12532,9862.0,"(0.125, 0.127]"
1767544980000,0.12531,0.1254,0.12526,0.12526,76638.0,"(0.125, 0.127]"
1767545040000,0.12528,0.12532,0.12519,0.12519,87551.0,"(0.125, 0.127]"
1767545100000,0.12519,0.12536,0.12516,0.12522,81992.0,"(0.124, 0.125]"
1767545160000,0.12522,0.12526,0.12522,0.12525,15453.0,"(0.125, 0.127]"
1767545220000,0.12523,0.12526,0.12515,0.12526,55535.0,"(0.125, 0.127]"
1767545280000,0.12526,0.1253,0.12521,0.12521,22118.0,"(0.125, 0.127]"
1767545340000,0.1252,0.1252,0.12503,0.12505,94821.0,"(0.124, 0.125]"
1767545400000,0.12504,0.12522,0.12495,0.12514,139081.0,"(0.124, 0.125]"
1767545460000,0.12515,0.12525,0.12506,0.12515,57457.0,"(0.124, 0.125]"
1767545520000,0.12517,0.12535,0.12517,0.12521,97361.0,"(0.124, 0.125]"
1767545580000,0.12521,0.12536,0.12521,0.12536,37373.0,"(0.125, 0.127]"
1767545640000,0.12535,0.12537,0.12526,0.12526,53242.0,"(0.125, 0.127]"
1767545700000,0.12528,0.12545,0.12516,0.12538,96700.0,"(0.125, 0.127]"
1767545760000,0.12537,0.12557,0.12536,0.12554,20307.0,"(0.125, 0.127]"
1767545820000,0.12553,0.12559,0.1255,0.12554,19335.0,"(0.125, 0.127]"
1767545880000,0.12553,0.12562,0.1255,0.1256,14869.0,"(0.125, 0.127]"
1767545940000,0.12559,0.1256,0.1255,0.12553,57635.0,"(0.125, 0.127]"
1767546000000,0.1255,0.12554,0.12548,0.12554,12714.0,"(0.125, 0.127]"
1767546060000,0.12555,0.1258,0.12555,0.12575,69749.0,"(0.125, 0.127]"
1767546120000,0.12575,0.12584,0.12488,0.12504,350594.0,"(0.125, 0.127]"
1767546180000,0.12505,0.12522,0.12467,0.12486,411369.0,"(0.124, 0.125]"
1767546240000,0.12488,0.12498,0.12477,0.12497,62836.0,"(0.124, 0.125]"
1767546300000,0.12498,0.12502,0.12489,0.12496,28793.0,"(0.124, 0.125]"
1767546360000,0.12495,0.12516,0.12495,0.12515,109615.0,"(0.124, 0.125]"
1767546420000,0.12508,0.12511,0.12486,0.12505,119646.0,"(0.124, 0.125]"
1767546480000,0.12507,0.12526,0.12507,0.12522,76227.0,"(0.124, 0.125]"
1767546540000,0.12521,0.12539,0.12518,0.12526,43012.0,"(0.125, 0.127]"
1767546600000,0.12531,0.12539,0.12524,0.12531,42210.0,"(0.125, 0.127]"
1767546660000,0.12532,0.12544,0.12531,0.12536,76843.0,"(0.125, 0.127]"
1767546720000,0.12536,0.12547,0.12533,0.12533,20977.0,"(0.125, 0.127]"
